key,parent_figure,paper_ref,description,status,data_files,parameters,run_func,cli_cmd,merge_func,plot_func,output_pdf,tex_name,notes
fig2_hub_comparison,Fig 2,Fig 2,Relative error vs U for V=0 (pure Hubbard) comparing interaction separations at each Nc,done,plots/filling_int_cluster_comparison_L48_chi32_20260206_113516.pkl,"L=48 chi=32 V=0",plots.compare_filling_with_int_cluster_sizes,cluster_runner.py run_filling_with_int_cluster_sizes,merge_comparison_results.merge_filling_with_int_cluster_sizes,make_paper_plots.plot_hub_comparison,fig_hub_comparison.pdf,current/hub_comparison_L48_Nc8_reformat.pdf,
fig4_v_conv_half_lowU,Fig 4,Fig 4 (low U),Relative error vs V for maximal separation beta=1/2 low U values,done,partials/filling_L48_20260126_001228/merged_fixed.pkl,"L=48 chi=32 beta=1/2 U_subset=[0 1 2 3]",plots.compare_filling_cluster_sizes,cluster_runner.py run_filling_cluster_sizes,merge_comparison_results.merge_filling_cluster_sizes,"make_paper_plots.plot_v_convergence('1-2', U_subset=[0,1,2,3])",fig_v_convergence_1-2.pdf,current/v_convergence_pi_relerror.pdf,
fig4_v_conv_half_highU,Fig 4,Fig 4 (high U),Relative error vs V for maximal separation beta=1/2 high U values,done,partials/filling_L48_20260126_001228/merged_fixed.pkl,"L=48 chi=32 beta=1/2 U_subset=[5 7 10 20]",plots.compare_filling_cluster_sizes,cluster_runner.py run_filling_cluster_sizes,merge_comparison_results.merge_filling_cluster_sizes,"make_paper_plots.plot_v_convergence('1-2', U_subset=[5,7,10,20], suffix='_highU')",fig_v_convergence_1-2_highU.pdf,current/v_convergence_pi_relerror_highU.pdf,
fig4_v_conv_beta1-3,Fig 4,Fig 4 appendix (beta=1/3),Relative error vs V for maximal separation beta=1/3,done,partials/filling_L48_vsep_2pi3_20260126_112422/merged_20260126_112422.pkl,"L=48 chi=32 beta=1/3 U_subset=[0 1 3 5]",plots.compare_filling_cluster_sizes,cluster_runner.py run_filling_cluster_sizes,merge_comparison_results.merge_filling_cluster_sizes,"make_paper_plots.plot_v_convergence('1-3', U_subset=[0,1,3,5])",fig_v_convergence_1-3.pdf,current/v_convergence_2pi3_relerror.pdf,
fig4_v_conv_beta1-4,Fig 4,Fig 4 appendix (beta=1/4),Relative error vs V for maximal separation beta=1/4,done,plots/filling_cluster_size_comparison_L40_chi32_20260106_211444.pkl,"L=40 chi=32 beta=1/4 U_subset=[0 1 3 5]",plots.compare_filling_cluster_sizes,cluster_runner.py run_filling_cluster_sizes,merge_comparison_results.merge_filling_cluster_sizes,"make_paper_plots.plot_v_convergence('1-4', U_subset=[0,1,3,5])",fig_v_convergence_1-4.pdf,current/v_convergence_pi4_48.pdf,Uses L=40 (not L=48)
fig5_fixed_supercluster,Fig 5,Fig 5,Maximal vs non-maximal clustering at fixed supercluster size U=5 beta=1/2,done,plots/fixed_supercluster_comparison_L120_chi32_20260109_164745.pkl; plots/fixed_supercluster_comparison_L120_chi32_20260113_174059.pkl,"L=120 chi=32 U=5 beta=1/2",plots.compare_fixed_supercluster,cluster_runner.py run_fixed_supercluster,merge_comparison_results.merge_fixed_supercluster,make_paper_plots.plot_fixed_supercluster,fig_fixed_supercluster.pdf,current/v_convergence_fixedsc_v_pi_fixedU_5.pdf,
app_fig2_abs_energy,Fig 2,App Fig 2a,Absolute energy vs U for V=0 comparing interaction separations at each Nc,needs_plot,plots/filling_int_cluster_comparison_L48_chi32_20260206_113516.pkl,"L=48 chi=32 V=0",plots.compare_filling_with_int_cluster_sizes,cluster_runner.py run_filling_with_int_cluster_sizes,,,,,"Same data as Fig 2 main, replot with plot_relative_error=False"
app_fig2_filling_relerr,Fig 2,App Fig 2b,Filling relative error vs U for V=0 comparing interaction separations at each Nc,needs_plot,plots/compressibility_combined_L48_chi32_20260311_183828_dmrg_20260311_202113.pkl,"L=48 chi=32 V=0",plots.compare_compressibility_with_int_cluster_sizes,cluster_runner.py run_compressibility_with_int_cluster_sizes,,,,,Rel error of filling (cluster vs DMRG)
app_fig2_filling_vals,Fig 2,App Fig 2c,Filling nu vs mu_0 for V=0 comparing interaction separations at each Nc,needs_review,plots/compressibility_combined_L48_chi32_20260311_183828_dmrg_20260311_202113.pkl,"L=48 chi=32 V=0",plots.compare_compressibility_with_int_cluster_sizes,cluster_runner.py run_compressibility_with_int_cluster_sizes,,make_paper_plots.plot_hub_compressibility,fig_hub_compressibility.pdf,current/hub_compressibility_L48.pdf,PDF generated but needs visual review
app_fig2_smallU_abs_energy,Fig 2,App Fig 2d,Absolute energy vs U for V=0 zoomed to U in [0 1] with 10 U values,done,plots/filling_int_cluster_comparison_L48_chi32_20260313_072204.pkl,"L=48 chi=32 V=0 U=linspace(0,1,10)",plots.compare_filling_with_int_cluster_sizes,cluster_runner.py run_filling_with_int_cluster_sizes,,make_paper_plots.plot_hub_smallU_abs_energy,fig_hub_smallU_abs_energy.pdf,current/hub_smallU_abs_energy_L48.pdf,
app_fig2_smallU_filling,Fig 2,App Fig 2e,Filling nu vs mu_0 for V=0 zoomed to U in [0 1] with 10 U values,needs_review,plots/compressibility_smallU_combined_L48_chi32_20260312_173238.pkl,"L=48 chi=32 V=0 U=linspace(0,1,10)",plots.compare_compressibility_with_int_cluster_sizes,cluster_runner.py run_compressibility_with_int_cluster_sizes,,make_paper_plots.plot_hub_smallU_compressibility,fig_hub_smallU_compressibility.pdf,current/hub_smallU_compressibility_L48.pdf,
app_fig4_v_compressibility,Fig 4,App Fig 4,Filling nu vs mu_0 for finite V comparing cluster sizes,needs_review,plots/fig4_compressibility_combined_L48_chi32_20260311_221535_dmrg_20260312_110452.pkl,"L=48 chi=32 beta=1/2",plots.compare_compressibility_cluster_sizes,cluster_runner.py run_compressibility_cluster_sizes,,make_paper_plots.plot_v_compressibility,fig_v_compressibility.pdf,current/v_compressibility_L48.pdf,PDF generated but needs visual review
app_fig5_sc_compressibility,Fig 5,App Fig 5,Filling nu vs mu_0 at fixed supercluster size (compressibility analog of Fig 5),needs_data,,"L=120 chi=32 U=5 beta=1/2",,,,,,,"No data or plot code yet. Needs computation function + plotting function."
